,technologydetails@EconsightEnergyPatent
240,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '2'specialisation': '0.0003'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '15','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2934','worldClassPatentsInTechnology': '238'specialisation': '0.0993'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '67','worldClassPatentsInTechnology': '4'specialisation': '0.0023'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1433','worldClassPatentsInTechnology': '108'specialisation': '0.0485'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '102','worldClassPatentsInTechnology': '6'specialisation': '0.0035'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '3'specialisation': '0.0006'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '62','worldClassPatentsInTechnology': '14'specialisation': '0.0021'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1030','worldClassPatentsInTechnology': '64'specialisation': '0.0348'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '38','worldClassPatentsInTechnology': '2'specialisation': '0.0013'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '742','worldClassPatentsInTechnology': '34'specialisation': '0.0251'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': '5'specialisation': '0.0007'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '125','worldClassPatentsInTechnology': '20'specialisation': '0.0042'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '87','worldClassPatentsInTechnology': '8'specialisation': '0.0029'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0'}]"
241,
242,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0026'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}]"
243,
244,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0066'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': '2'specialisation': '0.0182'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.005'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0033'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '22','worldClassPatentsInTechnology': '4'specialisation': '0.0364'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0066'}]"
245,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0092'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0023'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0115'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0046'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0046'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '33','worldClassPatentsInTechnology': '2'specialisation': '0.0759'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '1'specialisation': '0.0391'}]"
246,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}]"
247,
248,
249,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0051'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}]"
250,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '1'specialisation': '0.0511'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '15','worldClassPatentsInTechnology': ''specialisation': '0.045'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.018'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.006'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.003'}]"
251,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.017'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '1'specialisation': '0.0398'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '1'specialisation': '0.0455'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0114'}]"
252,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0053'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0053'}]"
253,
254,"[ {'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0024'}]"
255,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0073'}]"
256,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '55','worldClassPatentsInTechnology': '3'specialisation': '0.0764'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '31','worldClassPatentsInTechnology': '3'specialisation': '0.0431'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': ''specialisation': '0.0111'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0056'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': ''specialisation': '0.0167'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0028'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0028'}]"
257,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '42','worldClassPatentsInTechnology': '4'specialisation': '0.1373'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '1'specialisation': '0.0523'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '2'specialisation': '0.0131'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': ''specialisation': '0.0294'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0033'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0033'}]"
258,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0032'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0032'}]"
259,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0012'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '34','worldClassPatentsInTechnology': '6'specialisation': '0.0084'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0012'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.001'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0005'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}]"
260,"[ {'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0225'}]"
